_id,location_id,category
16036,354,"Gyms, MMA, Boxing"
16062,117,Gyms
16134,220,"Gyms, Fitness Studios, Yoga"
16136,142,"gyms,FT,fitness studio,MMA & KB"
16137,200,"Gyms, Fitness Studios"
16190,191,Gyms
16211,272,"Gyms, Crossfit, Cross functional"
16240,741,gyms and FT
16247,508,"Gyms, Fitness Studios"
16251,501,"Gyms, Fitness Studios"
16264,384,"gym, MMA"
16265,226,"Yoga, Fitness Studios"
16266,221,"Yoga, Fitness Studios"
16267,284,"Yoga, Fitness Studios"
16268,287,"Yoga, Fitness Studios"
16269,198,"Yoga, Fitness Studios"
16270,229,"Yoga, Fitness Studios"
16271,230,"Yoga, Fitness Studios"
16272,242,"Yoga, Fitness Studios"
16273,167,"Yoga, Fitness Studios"
16274,290,"Yoga, Fitness Studios"
16292,683,"fitness studio, yoga"
16293,184,"Yoga, Fitness Studios"
16294,184,"Yoga, Fitness Studios"
16299,257,"Yoga, Fitness Studios"
16300,238,"Yoga, Fitness Studios"
16305,114,Yoga
16328,218,"Yoga, Fitness Studios"
16451,45,Zumba
16452,36,zumba
16455,17,gym
16483,45,Gyms
16487,75,Gyms
16494,995,gyms
16495,59,gyms
16500,426,cross functional training
16503,509,"cross functional training, cross fit, Gyms, Fitness Studio"
16504,210,"cross functional training, cross fit, Gyms, Fitness Studio"
16507,18,"gyms, FT, Fitness STudios"
16514,7,"gyms,FT,Fitness studios"
16522,45,Gyms
16528,87,Gyms
16554,,Gyms
16556,,Gyms
