finder_id,type
12793,Fitternity
13941,Fitternity
14420,Fitternity
5275,Fitternity
7603,Fitternity
11306,Fitternity
11524,Fitternity
13663,Fitternity
14182,Fitternity
5961,Fitternity
6047,Fitternity
7132,Fitternity
9476,Fitternity
11042,Fitternity
11840,Fitternity
12079,Fitternity
13613,Fitternity
14139,Fitternity
14435,Fitternity
166,Fitternity
5688,Fitternity
6619,Fitternity
8519,Fitternity
9422,Fitternity
10674,Fitternity
10987,Fitternity
11140,Fitternity
11456,Fitternity
12050,Fitternity
14116,Fitternity
14357,Fitternity
2677,Fitternity
5679,Fitternity
6604,Fitternity
11409,Fitternity
11448,Fitternity
12272,Fitternity
13681,Fitternity
14077,Fitternity
1667,Fitternity
1971,Fitternity
4141,Fitternity
6064,Fitternity
6564,Fitternity
8932,Fitternity
11422,Fitternity
11789,Fitternity
13031,Fitternity
13341,Fitternity
13382,Fitternity
13980,Fitternity
14154,Fitternity
14168,Fitternity
3680,Fitternity
3775,Fitternity
4821,Fitternity
5151,Fitternity
6624,Fitternity
11884,Fitternity
12881,Fitternity
14300,Fitternity
2223,Fitternity
2861,Fitternity
4032,Fitternity
6895,Fitternity
6947,Fitternity
7301,Fitternity
7437,Fitternity
9303,Fitternity
11366,Fitternity
12165,Fitternity
12517,Fitternity
13340,Fitternity
13705,Fitternity
14387,Fitternity
2051,Fitternity
6289,Fitternity
7009,Fitternity
7773,Fitternity
10154,Fitternity
11181,Fitternity
11347,Fitternity
11374,Fitternity
11420,Fitternity
12794,Fitternity
12986,Fitternity
13662,Fitternity
14094,Fitternity
15054,Fitternity
119,Fitternity
417,Fitternity
1863,Fitternity
6207,Fitternity
7349,Fitternity
8058,Fitternity
9200,Fitternity
9622,Fitternity
11133,Fitternity
11397,Fitternity
12121,Fitternity
12504,Fitternity
14183,Fitternity
14194,Fitternity
15148,Fitternity
15153,Fitternity
1258,Fitternity
2818,Fitternity
4916,Fitternity
10516,Fitternity
9178,Capitation
10675,Capitation
1266,ABW PFC
579,Capitation
1260,Capitation
1233,Capitation
1261,Capitation
5742,Capitation
9171,Capitation
15869,Capitation
15868,Capitation
14640,ABW PFC
13146,Capitation
12888,Capitation
12860,Capitation
13144,Capitation
12894,Capitation
16059,Capitation
16064,Capitation
16065,Capitation
16047,Capitation
16051,Capitation
16054,Capitation
16050,Capitation
16052,Capitation
16061,Capitation
16056,Capitation
3180,ABW PFC
6452,ABW PFC
1671,Fitternity
7397,ABW PFC
13469,Capitation
13479,Capitation
14161,ABW PFC
3253,ABW PFC
7211,ABW PFC
7205,ABW PFC
16119,ABW PFC
14274,Capitation
9735,ABW PFC
7525,ABW PFC
14439,Capitation
14278,Capitation
14226,Capitation
14230,Capitation
11580,Capitation
12730,Capitation
15149,ABW PFC
7305,ABW PFC
2867,ABW PFC
13164,ABW PFC
8800,ABW PFC
1808,ABW PFC
8744,ABW PFC
1946,ABW PFC
1824,ABW PFC
4815,ABW PFC
9729,ABW PFC
9732,ABW PFC
9731,ABW PFC
2222,ABW PFC
16146,ABW PFC
16448,ABW PFC
3255,ABW PFC
3256,ABW PFC
13464,Capitation
11402,Capitation
16223,Capitation
1968,ABW PFC
6681,ABW PFC
6543,ABW PFC
7456,ABW PFC
1874,Capitation
2105,Capitation
16112,Capitation
15175,Capitation
2522,Capitation
1487,Capitation
1486,Capitation
16013,Capitation
13136,Capitation
16076,Capitation
16078,Capitation
15171,Capitation
15176,Capitation
16066,Capitation
16020,Capitation
13137,Capitation
13135,Capitation
13138,Capitation
16075,Capitation
15227,Capitation
16111,Capitation
16110,Capitation
16109,Capitation
16108,Capitation
16000,Capitation
13256,Capitation
15223,Capitation
16124,Capitation
2890,Capitation
16106,ABW PFC
13680,Capitation
5957,Capitation
7114,Capitation
15177,Capitation
16001,Capitation
9922,Capitation
5958,Capitation
7433,Capitation
5959,Capitation
5956,Capitation
4491,Capitation
5950,Capitation
7896,Capitation
16035,Capitation
11469,Capitation
15232,Capitation
16030,Capitation
15225,Capitation
16003,Capitation
15222,Capitation
15233,Capitation
15997,Capitation
15234,Capitation
15224,Capitation
16032,Capitation
15226,Capitation
15229,Capitation
6432,Capitation
13257,Capitation
13258,Capitation
13261,Capitation
13263,Capitation
9943,Capitation
9948,Capitation
9942,Capitation
9935,Capitation
15494,Capitation
16231,Capitation
16235,Capitation
10558,Capitation
9951,Capitation
15235,Capitation
1706,Capitation
16004,Capitation
16084,Capitation
16083,Capitation
16082,Capitation
7111,Capitation
7081,Capitation
7116,Capitation
8872,Capitation
7106,Capitation
3336,Capitation
3175,Capitation
3183,Capitation
3201,Capitation
3331,Capitation
3233,Capitation
5964,Capitation
3192,ABW PFC
3335,Capitation
3347,Capitation
3341,Capitation
3330,Capitation
3204,Capitation
3346,Capitation
3345,Capitation
3342,Capitation
3343,Capitation
3333,Capitation
16123,Capitation
16122,Capitation
16121,Capitation
15172,Capitation
15174,Capitation
15170,Capitation
7341,Capitation
2852,Capitation
2833,Capitation
1034,Capitation
1739,Capitation
15780,Capitation
2824,Capitation
1705,Capitation
2844,Capitation
2806,Capitation
1029,Capitation
1488,Capitation
1457,Capitation
1878,Capitation
11451,Capitation
11838,Capitation
11836,Capitation
11830,Capitation
1452,Capitation
9883,Capitation
1030,Capitation
1647,Capitation
1458,Capitation
401,Capitation
1460,Capitation
1451,Capitation
576,Capitation
11829,Capitation
11828,Capitation
16029,Capitation
16031,Capitation
12864,ABW PFC
16008,Capitation
16002,Capitation
16007,Capitation
15167,Capitation
15999,Capitation
16005,Capitation
14671,Capitation
16237,Capitation
14777,ABW PFC
14644,ABW PFC
1986,Capitation
16105,ABW PFC
16016,Capitation
16012,Capitation
12966,Capitation
16165,ABW PFC
14122,ABW PFC
16006,Capitation
8868,ABW PFC
16014,ABW PFC
15933,ABW PFC
15889,ABW PFC
9880,Capitation
6578,Capitation
12278,ABW PFC
15853,ABW PFC
13327,ABW PFC
13328,ABW PFC
6339,ABW PFC
7661,ABW PFC
8842,ABW PFC
16033,Capitation
15185,Capitation
16120,Capitation
11564,Capitation
15995,Capitation
12120,ABW PFC
11575,Capitation
3118,ABW PFC
15835,ABW PFC
15836,ABW PFC
16019,ABW PFC
16329,Capitation
7322,Capitation
5892,Capitation
11640,Capitation
5928,Capitation
16332,Capitation
15996,Capitation
13332,ABW PFC
15879,ABW PFC
16018,ABW PFC
15874,ABW PFC
9872,Capitation
12768,Capitation
10411,ABW PFC
11239,ABW PFC
2426,ABW PFC
1875,ABW PFC
16021,ABW PFC
1880,ABW PFC
2293,ABW PFC
1862,ABW PFC
2425,ABW PFC
1879,ABW PFC
1861,ABW PFC
16017,ABW PFC
14195,Capitation
14191,Capitation
14192,Capitation
13596,Capitation
13291,Capitation
13296,Capitation
9117,ABW PFC
11811,ABW PFC
13116,ABW PFC
16041,ABW PFC
13547,ABW PFC
14653,ABW PFC
16037,ABW PFC
14065,ABW PFC
13009,ABW PFC
16104,ABW PFC
15147,ABW PFC
14976,ABW PFC
6244,ABW PFC
12928,ABW PFC
16039,ABW PFC
8728,ABW PFC
15886,ABW PFC
11631,ABW PFC
11766,ABW PFC
12635,ABW PFC
,Capitation
13262,Capitation
15985,ABW PFC
16022,ABW PFC
16024,ABW PFC
5967,ABW PFC
14736,ABW PFC
16107,Capitation
16034,Capitation
6160,ABW PFC
15944,ABW PFC
16040,ABW PFC
16023,ABW PFC
16113,Capitation
16115,Capitation
4840,Capitation
6710,Capitation
9862,Capitation
5878,Capitation
16117,Capitation
6632,Capitation
16201,Capitation
9865,Capitation
7351,Capitation
16114,Capitation
10161,Capitation
5883,Capitation
16116,Capitation
16118,Capitation
16099,ABW PFC
16100,ABW PFC
14753,Fitternity
14864,Fitternity
15055,Fitternity
15272,Fitternity
