code
SAAVNFIT01000000127
SAAVNFIT01000000258
SAAVNFIT01000000395
SAAVNFIT01000000534
SAAVNFIT01000000683
SAAVNFIT01000000834
SAAVNFIT01000000991
SAAVNFIT01000001154
SAAVNFIT01000001321
SAAVNFIT01000001494
SAAVNFIT01000001673
SAAVNFIT01000001854
SAAVNFIT01000002045
SAAVNFIT01000002238
SAAVNFIT01000002435
SAAVNFIT01000002634
SAAVNFIT01000002845
SAAVNFIT01000003068
SAAVNFIT01000003295
SAAVNFIT01000003524
SAAVNFIT01000003757
SAAVNFIT01000003996
SAAVNFIT01000004237
SAAVNFIT01000004488
SAAVNFIT01000004745
SAAVNFIT01000005008
SAAVNFIT01000005277
SAAVNFIT01000005548
SAAVNFIT01000005825
SAAVNFIT01000006106
SAAVNFIT01000006389
SAAVNFIT01000006682
SAAVNFIT01000006989
SAAVNFIT01000007300
SAAVNFIT01000007613
SAAVNFIT01000007930
SAAVNFIT01000008261
SAAVNFIT01000008598
SAAVNFIT01000008945
SAAVNFIT01000009294
SAAVNFIT01000009647
SAAVNFIT01000010006
SAAVNFIT01000010373
SAAVNFIT01000010746
SAAVNFIT01000011125
SAAVNFIT01000011508
SAAVNFIT01000011897
SAAVNFIT01000012294
SAAVNFIT01000012695
SAAVNFIT01000013104
SAAVNFIT01000013523
SAAVNFIT01000013944
SAAVNFIT01000014375
SAAVNFIT01000014808
SAAVNFIT01000015247
SAAVNFIT01000015690
SAAVNFIT01000016139
SAAVNFIT01000016596
SAAVNFIT01000017057
SAAVNFIT01000017520
SAAVNFIT01000017987
SAAVNFIT01000018466
SAAVNFIT01000018953
SAAVNFIT01000019444
SAAVNFIT01000019943
SAAVNFIT01000020446
SAAVNFIT01000020955
SAAVNFIT01000021476
SAAVNFIT01000021999
SAAVNFIT01000022001
SAAVNFIT01000022004
SAAVNFIT01000022009
SAAVNFIT01000022016
SAAVNFIT01000022027
SAAVNFIT01000022040
SAAVNFIT01000022057
SAAVNFIT01000022076
SAAVNFIT01000022099
SAAVNFIT01000022128
SAAVNFIT01000022159
SAAVNFIT01000022196
SAAVNFIT01000022237
SAAVNFIT01000022280
SAAVNFIT01000022327
SAAVNFIT01000022380
SAAVNFIT01000022439
SAAVNFIT01000022500
SAAVNFIT01000022567
SAAVNFIT01000022638
SAAVNFIT01000022711
SAAVNFIT01000022790
SAAVNFIT01000022873
SAAVNFIT01000022962
SAAVNFIT01000023059
SAAVNFIT01000023160
SAAVNFIT01000023263
SAAVNFIT01000023370
SAAVNFIT01000023479
SAAVNFIT01000023592
SAAVNFIT01000023719
SAAVNFIT01000024056
SAAVNFIT01000024403
SAAVNFIT01000024752
SAAVNFIT01000025105
SAAVNFIT01000025464
SAAVNFIT01000025831
SAAVNFIT01000026204
SAAVNFIT01000026583
SAAVNFIT01000026966
SAAVNFIT01000027355
SAAVNFIT01000027752
SAAVNFIT01000028153
SAAVNFIT01000028562
SAAVNFIT01000028981
SAAVNFIT01000029402
SAAVNFIT01000029833
SAAVNFIT01000030266
SAAVNFIT01000030705
SAAVNFIT01000031148
SAAVNFIT01000031597
SAAVNFIT01000032054
SAAVNFIT01000032515
SAAVNFIT01000032978
SAAVNFIT01000033445
SAAVNFIT01000033924
SAAVNFIT01000034411
SAAVNFIT01000034902
SAAVNFIT01000035401
SAAVNFIT01000035904
SAAVNFIT01000036413
SAAVNFIT01000036934
SAAVNFIT01000037457
SAAVNFIT01000037459
SAAVNFIT01000037462
SAAVNFIT01000037467
SAAVNFIT01000037474
SAAVNFIT01000037485
SAAVNFIT01000037498
SAAVNFIT01000037515
SAAVNFIT01000037534
SAAVNFIT01000037557
SAAVNFIT01000037586
SAAVNFIT01000037617
SAAVNFIT01000037654
SAAVNFIT01000037695
SAAVNFIT01000037738
SAAVNFIT01000037785
SAAVNFIT01000037838
SAAVNFIT01000037897
SAAVNFIT01000037958
SAAVNFIT01000038025
SAAVNFIT01000038096
SAAVNFIT01000038169
SAAVNFIT01000038248
SAAVNFIT01000038331
SAAVNFIT01000038420
SAAVNFIT01000038517
SAAVNFIT01000038618
SAAVNFIT01000038721
SAAVNFIT01000038828
SAAVNFIT01000038937
SAAVNFIT01000039050
SAAVNFIT01000039177
