Sr. No,id,Brand,Merchant Sku,Product Name ,Manufacturer,Flavour,Mass,Supplier,Primary Product Category,Secondary Category,MRP,Weight,HSN Code,GST Rate,Flavor,Vegetarian/Non-Vegetarian,Manufactured in,Form,UPC
151,133,GNC,80200755,"GNC Preventive Nutrition Healthy Blood Sugar Formula - Support Normal, Healthy Blood Glucose Levels and Healthy Inflammatory Response (90 Caplets)",GNC,,,GNC,Vitamins & Supplements,Specialty Supplements,4599,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107118341
152,41,GNC,80200870,GNC Mega Men Sport (180 Caplets),GNC,,180 Caplets,GNC,Vitamins & Supplements,Multivitamins,4899,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107158552
153,134,GNC,80200882,"GNC Triple Strength Fish Oil Mini Supports Heart, Brain, Skin, Eye & Joint Health (120 Softgels)",GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,4699,,21069099,18%,,Non-Vegetarian,USA,Softgel,48107170592
154,135,GNC,80200886,GNC PP JAXX Shaker Black-Mini 1s,GNC,,,GNC,Protein & Fitness,Accessories,999,,39269099,18%,,,USA,,48107160463
155,136,GNC,80200879,GNC JAXX Shaker Black color 1s,GNC,,,GNC,Protein & Fitness,Accessories,1149,,39269099,18%,,,USA,,48107160715
156,137,GNC,80200665,GNC Total Lean Waterex - Regulate Water Balance and Enhanced with Vital Electrolytes (60 Capsules),GNC,,,GNC,Weight Management,Appetite Control & Diet Support,1599,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107084721
157,138,GNC,80200015,GNC Pro Performance ThermoBurst Hardcore -Thermogenic Formula - Improves Endurance and Athletic Performance and Ignites The Metabolism To Burn More Calories  (90 Tablets),GNC,,,GNC,Weight Management,Fat & Calorie Burners,3599,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107091750
158,139,GNC,80200570,"GNC Total Lean Burn 60 - Powerful Thermogenic Formula - Boosts Energy, Metabolism And Burn Calories  (60 Cinnamon Flavored Tablets)",GNC,,,GNC,Weight Management,Fat & Calorie Burners,3049,,21069099,18%,,Vegetarian,USA,Tablet,48107078782
159,140,GNC,80200230,GNC Pro Performance CLA 1000mg - Supports Lean Muscle Mass and Fuels Fat Metabolism Without Stimulants (90 Softgels),GNC,,,GNC,Weight Management,Fat & Calorie Burners,3599,,21069099,18%,,Non-Vegetarian,USA,Softgel,48107169046
160,141,GNC,80200467,GNC Garcinia Cambogia 500mg (90 Vegetarian Capsules),GNC,,,GNC,Weight Management,Appetite Control & Diet Support,1799,,21069099,18%,,Vegetarian,USA,Capusle,48107154783
161,142,GNC,80200664,"GNC Total Lean CLA - Supports Healthy Body Composition, Metabolism and Maintain Lean Muscle Mass (90 Softgel Capsules)",GNC,,,GNC,Weight Management,Fat & Calorie Burners,3049,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107098537
162,143,GNC,80200707,"GNC Total Lean Lean Shake 25 - Helps Feel Fuller, Supports Normal, Healthy Cholesterol Levels, and Fuels Metabolism and Lean Muscle Tone",GNC,French Vanilla,832 G,GNC,Weight Management,Meal Replacements,4949,,21061000,18%,Vanilla,Vegetarian,USA,Powder,48107098902
163,143,GNC,80200706,"GNC Total Lean Lean Shake 25 - Helps Feel Fuller, Supports Normal, Healthy Cholesterol Levels, and Fuels Metabolism and Lean Muscle Ton ",GNC,Rich Chocolate,832 G,GNC,Weight Management,Meal Replacements,4949,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107098285
164,144,GNC,80200790,GNC Total Lean Advanced Lean Shake Burn - Calorie Burning Thermogenic and Whey Protein Blend ,GNC,Chocolate Fudge,26.72 Oz,GNC,Weight Management,Meal Replacements,5399,,21061000,18%,Chocolate,Vegetarian,USA,Powder,48107142230
165,144,GNC,80200791,GNC Total Lean Advanced Lean Shake Burn - Calorie Burning Thermogenic and Whey Protein Blend ,GNC,Cookies & Cream,26.72 Oz,GNC,Weight Management,Meal Replacements,5399,,21061000,18%,Cookies and cream,Vegetarian,USA,Powder,48107151256
166,144,GNC,80200897,GNC Total Lean Advanced Lean Shake Burn - Calorie Burning Thermogenic and Whey Protein Blend ,GNC,Vanilla Creame ,26.72 Oz,GNC,Weight Management,Meal Replacements,5199,,21061000,18%,Vanilla crème,Vegetarian,USA,Powder,48107146887
167,145,GNC,80200779,GNC Women’s Ultra Mega  Diabetic Support - Support Glucose Metabolism - Timed Release (90 Caplets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,3899,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107123772
168,146,GNC,80200273,GNC Women’s Ultra Mega Bone Density Without Iron And Iodine - Clinically Studied Multivitamin - Timed Release (120 Caplets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,2599,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107094591
169,147,GNC,80200037,"GNC Women's Ultra Nourish-Hair - Advanced Nutrition For Beautiful Hair- Supports The Structural Foundation Of Strong, Healthy Hair (120 Caplets)",GNC,,,GNC,Vitamins & Supplements,Beauty Care,2999,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107014001
170,148,GNC,80200257,GNC Salmon Oil 1000mg a Dietary Supplement with Omega-3 Fatty Acids  (180 Softgel Capsules),GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,3499,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107150600
171,149,GNC,80200108,GNC Women’s Ultra Mega- High Potency Vitamin and Mineral Formula- Designed For Women's Nutritional Need- Timed Release (90 Tablets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,2999,,21069099,18%,,Vegetarian,USA,Tablet,48107150136
172,150,GNC,80200598,GNC Alpha Lipoic Acid 300mg Supports Antioxidant Regeneration (60 Caplets),GNC,,,GNC,Vitamins & Supplements,Anti-Oxidants,2149,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107123734
173,151,GNC,80200713,"GNC Teen Multi Vitamin for Skin, Bone & Immunity Support (120 Caplets)",GNC,,,GNC,Vitamins & Supplements,Multivitamins,2599,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107119997
174,152,GNC,80200088,GNC Beta Carotene 6 mg (100 Softgel Capsules),GNC,,,GNC,Vitamins & Supplements,Specialty Supplements,1049,,21069099,18%,,Non-Vegetarian,USA,Softgel,48107149031
175,153,GNC,80200317,GNC Triflex Supports Joint Mobility and Flexibility (120 Caplets),GNC,,,GNC,Vitamins & Supplements,Joint Support,4799,,21069099,18%,,Non-Vegetarian,USA,Tablet,48107165659
176,154,GNC,80200719,GNC (Irwin) Steel Libido Enhances Pleasure & Male Physical Performance (75 Softgels),GNC,,,GNC,Vitamins & Supplements,Sexual Health,3949,,21069099,18%,,Non-Vegetarian,USA,Softgel,710363262389
177,155,GNC,80200221,GNC Mega Men Multivitamin for Men (200 Tablets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,5199,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107064228
178,156,GNC,80200155,GNC Ultra Mega Vegetarian Multivitamin and Mineral Formula (180 Caplets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,4899,,21069099,18%,,Vegetarian,USA,Caplet,48107082697
179,157,GNC,80200386,"GNC Men's Biotin Shampoo Helps Maintain Thicker, Healthier Hair 12Oz (354 Ml)",GNC,,,GNC,Vitamins & Supplements,Personal Care,1299,,33051090,18%,,Vegetarian,USA,Liquid,48107153595
180,158,GNC,80200693,GNC Attentive Child Supports Brain Metabolism (60 Chewable Wafers),GNC,,,GNC,Vitamins & Supplements,Multivitamins,2399,,21069099,18%,,Non-Vegetarian,USA,Tablet,21078012146
181,159,GNC,80200192,GNC Women's Evening Primrose Oil 1300mg Supports Hormonal Balance (90 Softgels),GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,2799,,21069099,18%,,Non-Vegetarian,USA,Softgel,48107006839
182,160,GNC,80200180,GNC Vitamin B 12 1000mcg - Essential for the Metabolism of Carbohydrates (100 Tablets),GNC,,,GNC,Vitamins & Supplements,Vitamins A-Z,1499,,21069099,18%,,Vegetarian,USA,Tablet,48107121426
183,161,GNC,80200731,Resvitale Resveratrol 250 mg Helps Support Cellular Productivity (60 Capsules),GNC,,,GNC,Herbs & Natural Remedies,Anti-Oxidants,6049,,21069099,18%,,Vegetarian,USA,Capusle,94922481191
184,162,GNC,80200807,"GNC Triple Strength Omega Complex (Lemon Flavor) - Supports Heart, Brain, Skin, Eye & Joint Health (90 Softgels)",GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,3249,,21069099,18%,,Non-Vegetarian,USA,Softgel,48107089290
185,163,GNC,80200921,GNC Pro Performance Amplified Pure Isolate ,GNC,Chocolate,2.13 Lbs,GNC,Protein & Fitness,Protein,6749,,21061000,18%,,,USA,,
186,163,GNC,80200922,GNC Pro Performance Amplified Pure Isolate ,GNC,Vanilla,1.98 Lbs,GNC,Protein & Fitness,Protein,6749,,21061000,18%,,,USA,,
187,163,GNC,80200923,GNC Pro Performance Amplified Pure Isolate ,GNC,Chocolate,5.32 Lbs,GNC,Protein & Fitness,Protein,13499,,21061000,18%,,,USA,,
188,163,GNC,80200924,GNC Pro Performance Amplified Pure Isolate ,GNC,Vanilla,4.94 Lbs,GNC,Protein & Fitness,Protein,13499,,21061000,18%,,,USA,,
189,164,GNC,80200819,GNC Mega Men 50 Plus One Daily Multivitamin (60 Caplets),GNC,,,GNC,Vitamins & Supplements,Multivitamins,2799,,21069099,18%,,Non-Vegetarian,USA,Caplet,48107120382
190,165,GNC,80200712,GNC Triple Strength Fish Oil 1400 + CoQ10 Enteric Coated to Control Fishy Burps (60 Softgels),GNC,,,GNC,Vitamins & Supplements,Fish Oil & Omegas,4149,,21069099,18%,,Non-Vegetarian,USA,Capusle,48107096625
191,166,GNC,80200949,GNC (RESVITALE) Collagen Powder Renew (30 Servings) (78gm),GNC,,,GNC,Vitamins & Supplements,Beauty Care,3499,,21069099,18%,,,USA,,
192,167,GNC,80200210,GNC Aloe Vera Cream 57gm,,,,,,,,,,,,,,,
193,168,GNC,80200071,GNC Apple Cidar Vinegar 120 tablets,,,,,,,,,,,,,,,
